Top End Customer Parent Name,Sold To Name,Ship To Name,Product Family,Prod Sub Family,Stwd BizOps PlatformName,Density,OPN,Customer PO (Backlog),Sales Document Type,Sales Document,Sales Document Line Item,Sales Document Schedule Line,Sales Document Created Date,Week,RDD Date,RDD Week,RDD Month,RDD Quarter,First SSD,SSD Date,SSD Week,SSD Month,SSD Quarter,SDD Date,SDD Week,SDD Month,SDD Quarter,TMAD Date,TMAD Week,TMAD Month,TMAD Quarter,CMAD Date,Today CMAD Date,CMAD Week,CMAD Month,CMAD Quarter,Delivery Block Name,Delivery Block Reason,Delivery,Today Delivery,Scheduled Quantity,Today Scheduled Quantity,Unscheduled Quantity,Total Backlog Quantity,Delivery Quantity,Open Delivery Quantity,Staged Delivery Quantity,Unit Price Amount,Total Backlog Amount,Route,Plant,Ship To City,Ship To Country
"META PLATFORMS TECHNOLOGIES, LLC",QUANTA COMPUTER INC.,QUANTA COMPUTER INC.,GENESIS,GENESIS,MILAN,36.0,100-000000322,1077568713,ZOR,3000207829,5,1,2024-09-06,2024W40,2024-10-07,2024W41,2024M10,2024Q4,2024-10-04,2024-10-04,2024W40,2024M10,2024Q4,2024-10-07,2024W41,2024M10,2024Q4,2024-10-02,2024W40,2024M10,2024Q4,2024-10-02,,2024W40,2024M10,2024Q4,,,,,15,,57,72,,,,$600.00,$43200,PENTW,5PEN,TAOYUAN CITY,TW
"META PLATFORMS TECHNOLOGIES, LLC",KINGSTON TECHNOLOGY INTERNATIONAL,KINGSTON TECHNOLOGY INTERNATIONAL L,STONES,STONES,GENOA,96.0,100-000000789,6000079292,ZREP,3000204278,10,1,2024-08-27,2024W30,2024-08-02,2024W31,2024M08,2024Q3,,,,,,,,,,2024-07-26,2024W30,2024M07,2024Q3,,,,,,,Z1,,,0,,1,1,,,,$0.00,$0,SINTW,5SIN,HSIN CHU,TW
"META PLATFORMS TECHNOLOGIES, LLC",QUANTA COMPUTER INC.,QUANTA COMPUTER INC.,STONES,STONES,GENOA,96.0,100-000000789,1077473202,ZOR,3000183159,5,1,2024-06-25,2024W38,2024-09-28,2024W39,2024M09,2024Q3,2024-10-04,2024-09-24,2024W39,2024M09,2024Q3,2024-09-28,2024W39,2024M09,2024Q3,2024-09-20,2024W38,2024M09,2024Q3,2024-09-20,,2024W38,2024M09,2024Q3,,,,,30,,0,30,,,,$2260.00,$67800,HK2TW4,5HK2,TAOYUAN CITY,TW
"META PLATFORMS TECHNOLOGIES, LLC",QUANTA COMPUTER INC.,QUANTA COMPUTER INC.,STONES,STONES,GENOA,96.0,100-000000789,1077493397,ZOR,3000188599,10,1,2024-07-08,2024W38,2024-09-28,2024W39,2024M09,2024Q3,2024-10-18,2024-09-24,2024W39,2024M09,2024Q3,2024-09-28,2024W39,2024M09,2024Q3,2024-09-20,2024W38,2024M09,2024Q3,2024-09-20,,2024W38,2024M09,2024Q3,,,,,408,,0,408,,,,$2260.00,$922080,HK2TW4,5HK2,TAOYUAN CITY,TW
"META PLATFORMS TECHNOLOGIES, LLC",QUANTA COMPUTER INC.,QUANTA COMPUTER INC.,STONES,STONES,GENOA,96.0,100-000000789,1077517314,ZOR,3000194464,5,1,2024-07-26,2024W40,2024-10-07,2024W41,2024M10,2024Q4,2024-10-03,2024-10-03,2024W40,2024M10,2024Q4,2024-10-07,2024W41,2024M10,2024Q4,2024-09-30,2024W40,2024M10,2024Q4,2024-09-30,,2024W40,2024M10,2024Q4,,,,,36,,0,36,,,,$2260.00,$81360,HK2TW4,5HK2,TAOYUAN CITY,TW
"META PLATFORMS TECHNOLOGIES, LLC",QUANTA COMPUTER INC.,QUANTA COMPUTER INC.,STONES,STONES,GENOA,96.0,100-000000789,1077517315,ZOR,3000194465,5,1,2024-07-26,2024W44,2024-11-04,2024W45,2024M11,2024Q4,2024-10-17,2024-10-31,2024W44,2024M11,2024Q4,2024-11-04,2024W45,2024M11,2024Q4,2024-10-29,2024W44,2024M11,2024Q4,2024-10-29,,2024W44,2024M11,2024Q4,,,,,300,,0,300,,,,$2260.00,$678000,HK2TW4,5HK2,TAOYUAN CITY,TW
"META PLATFORMS TECHNOLOGIES, LLC",QUANTA COMPUTER INC.,QUANTA COMPUTER INC.,STONES,STONES,GENOA,96.0,100-000000789,1077517315,ZOR,3000194465,10,1,2024-07-26,2024W43,2024-10-28,2024W44,2024M11,2024Q4,2024-10-25,2024-10-24,2024W43,2024M10,2024Q4,2024-10-28,2024W44,2024M11,2024Q4,2024-10-22,2024W43,2024M10,2024Q4,2024-10-22,,2024W43,2024M10,2024Q4,,,,,108,,0,108,,,,$2260.00,$244080,HK2TW4,5HK2,TAOYUAN CITY,TW
"META PLATFORMS TECHNOLOGIES, LLC",QUANTA COMPUTER INC.,QUANTA COMPUTER INC.,STONES,STONES,GENOA,96.0,100-000000789,1077517316,ZOR,3000194467,5,1,2024-07-26,2024W45,2024-11-11,2024W46,2024M11,2024Q4,2024-11-08,2024-11-07,2024W45,2024M11,2024Q4,2024-11-11,2024W46,2024M11,2024Q4,2024-11-05,2024W45,2024M11,2024Q4,2024-11-05,,2024W45,2024M11,2024Q4,,,,,498,,0,498,,,,$2260.00,$1125480,HK2TW4,5HK2,TAOYUAN CITY,TW
"META PLATFORMS TECHNOLOGIES, LLC",QUANTA COMPUTER INC.,QUANTA COMPUTER INC.,STONES,STONES,GENOA,96.0,100-000000789,1077517316,ZOR,3000194467,10,1,2024-07-26,2024W47,2024-11-25,2024W48,2024M12,2024Q4,2024-11-22,2024-11-21,2024W47,2024M11,2024Q4,2024-11-25,2024W48,2024M12,2024Q4,2024-11-19,2024W47,2024M11,2024Q4,2024-11-19,,2024W47,2024M11,2024Q4,,,,,558,,0,558,,,,$2260.00,$1261080,HK2TW4,5HK2,TAOYUAN CITY,TW
"META PLATFORMS TECHNOLOGIES, LLC",QUANTA COMPUTER INC.,QUANTA COMPUTER INC.,STONES,STONES,GENOA,96.0,100-000000789,1077517318,ZOR,3000194470,5,1,2024-07-26,2024W38,2024-09-28,2024W39,2024M09,2024Q3,2024-09-19,2024-09-24,2024W39,2024M09,2024Q3,2024-09-28,2024W39,2024M09,2024Q3,2024-09-20,2024W38,2024M09,2024Q3,2024-09-20,,2024W38,2024M09,2024Q3,,,,,96,,0,96,,,,$2260.00,$216960,HK2TW4,5HK2,TAOYUAN CITY,TW
